,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exhibit 4.3: Trend Plots of Average Science Achievement Across Assessment Years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ireland,,523,(2.9),530,(2.8),,,,,,,,,518,(5.1),,,,,,,,,,,,
,,Israel,,513,(4.2),507,(3.9),516,(4.0),,,,,,,,,,,,,,,,,,,,
,,Italy,,500,(2.6),499,(2.4),501,(2.4),495,(2.9),491,(3.1),493,(4.0),,,,,,,,,,,,,,
,,Japan,,570,(2.1),571,(1.8),558,(2.4),554,(1.8),552,(1.9),550,(2.1),554,(1.8),,,,,,,,,,,,
,,Jordan,,452,(4.7),426,(3.4),449,(4.1),482,(4.0),475,(3.7),450,(3.8),,,,,,,,,,,,,,
,,Kazakhstan,,478,(3.1),,,490,(4.2),,,,,,,,,,,,,,,,,,,,
,,"Korea, Rep. of",,561,(2.1),556,(2.2),560,(2.0),553,(2.0),558,(1.6),549,(2.7),546,(2.1),,,,,,,,,,,,
,,Kuwait,,444,(5.7),411,(5.2),,,,,,,,,,,,,,,,,,,,,,
,,Lebanon,,377,(4.6),398,(5.3),406,(5.0),414,(6.0),393,(4.2),,,,,,,,,,,,,,,,
,,Lithuania,,534,(3.0),519,(2.8),514,(2.5),519,(2.6),519,(2.2),488,(4.1),464,(4.0),,,,,,,,,,,,
,,Malaysia,,460,(3.5),471,(4.1),426,(6.2),471,(6.0),510,(3.6),492,(4.3),,,,,,,,,,,,,,
,,Morocco,,394,(2.7),393,(2.5),376,(2.2),,,,,,,,,,,,,,,,,,,,
,,New Zealand,,499,(3.5),513,(3.1),512,(4.6),,,520,(5.0),510,(5.1),511,(4.9),,,,,,,,,,,,
,,Norway (9),,495,(3.1),509,(2.8),,,,,,,,,,,,,,,,,,,,,,
,,Oman,,457,(2.9),455,(2.7),420,(3.2),423,(2.9),,,,,,,,,,,,,,,,,,
,,Portugal,,519,(2.9),,,,,,,,,,,473,(3.1),,,,,,,,,,,,
,,Qatar,,475,(4.4),457,(3.0),419,(3.2),,,,,,,,,,,,,,,,,,,,
,,Romania,,470,(4.2),,,465,(3.5),462,(3.7),470,(4.9),472,(5.7),471,(5.2),,,,,,,,,,,,
,,Russian Federation,,543,(4.2),544,(4.2),542,(3.3),530,(3.7),514,(3.6),529,(6.4),523,(4.4),,,,,,,,,,,,
,,Saudi Arabia,,431,(2.6),396,(4.5),436,(3.8),,,,,,,,,,,,,,,,,,,,
,,Singapore,,608,(3.9),597,(3.2),590,(4.3),567,(4.4),578,(4.2),568,(8.0),580,(5.6),,,,,,,,,,,,
,,South Africa (9),,370,(3.1),358,(5.6),332,(3.6),,,,,,,,,,,,,,,,,,,,
,,Sweden,,521,(3.2),522,(3.4),509,(2.6),511,(2.5),524,(2.7),,,553,(4.3),,,,,,,,,,,,
,,Turkey,,515,(3.7),493,(4.0),483,(3.4),,,,,,,,,,,,,,,,,,,,
,,United Arab Emirates,,473,(2.2),477,(2.3),465,(2.4),,,,,,,,,,,,,,,,,,,,
,,United States,,522,(4.7),530,(2.8),525,(2.4),520,(2.9),527,(3.2),515,(4.4),513,(5.5),,,,,,,,,,,,
,Benchmarking Participants,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Ontario, Canada",,522,(3.0),524,(2.5),521,(2.4),526,(3.6),533,(2.7),518,(3.1),496,(3.8),,,,,,,,,,,,
,,"Quebec, Canada",,537,(3.6),530,(4.4),520,(2.6),507,(3.0),531,(3.0),540,(4.9),510,(7.0),,,,,,,,,,,,
,,"Abu Dhabi, UAE",,420,(3.6),454,(5.6),461,(3.9),,,,,,,,,,,,,,,,,,,,
,,"Dubai, UAE",,548,(2.0),525,(2.0),485,(2.6),489,(2.7),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"An empty cell indicates a country did not participate in that year's assessment or did not have comparable data. 
See Appendix A for country participation in previous TIMSS assessments.
Results for Lithuania before 2015 do not include students taught in Polish or Russian.  
( ) Standard errors appear in parentheses. Because of rounding some results may appear inconsistent.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SOURCE:  IEA's Trends in International Mathematics and Science Study - TIMSS 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Downloaded from http://timss2019.org/download,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
